cells,Gen1,Gen2,Gen3,Gen 4,Gen 5
A1,0,0,0,0,0
A2,0,0,1.0019582262109,1.0019582262109,0
A3,6.07143081403291,0,2.00785343002263,6.07143081403291,0
A4,0,0,0,0,0
A5,0,0,0,0,0
A6,0,5.04947336903132,0,0,0
A7,0,1.0019582262109,0,0,0
A8,0,0,0,0,0
A9,1.0019582262109,0,0,1.0019582262109,0
A10,0,0,0,0,0
A11,1.0019582262109,1.0019582262109,1.0019582262109,4.03157938384363,0
A12,0,0,0,0,0
A13,0,0,0,0,0
A14,3.01771667252281,0,0,1.0019582262109,0
A15,1.0019582262109,3.01771667252281,0,1.0019582262109,0
A16,2.00785343002263,4.03157938384363,4.03157938384363,4.03157938384363,2.00785343002263
A17,0,1.0019582262109,1.0019582262109,0,0
A18,4.03157938384363,1.0019582262109,2.00785343002263,0,1.0019582262109
A19,0,3.01771667252281,0,,0
A20,0,0,0,0,0
A21,0,1.0019582262109,0,0,1.0019582262109
A22,0,0,0,0,0
A23,0,2.00785343002263,1.0019582262109,4.03157938384363,0
A24,2.00785343002263,2.00785343002263,0,5.04947336903132,0
A25,0,0,1.0019582262109,0,0
A26,1.0019582262109,0,1.0019582262109,1.0019582262109,0
A27,0,1.0019582262109,1.0019582262109,2.00785343002263,0
A28,0,0,0,0,0
A29,0,0,3.01771667252281,5.04947336903132,0
A30,0,0,0,0,0
A31,1.0019582262109,0,0,0,0
A32,0,0,0,0,0
A33,0,0,0,0,0
A34,0,0,0,0,0
A35,1.0019582262109,0,0,0,0
A36,0,0,0,0,0
A37,0,0,0,0,0
A38,2.00785343002263,1.0019582262109,5.04947336903132,4.03157938384363,0
A39,0,0,0,0,0
A40,0,0,0,0,0
A41,0,0,0,0,0
A42,0,1.0019582262109,0,0,0
A43,4.03157938384363,1.0019582262109,2.00785343002263,0,0
A44,0,0,0,0,0
A45,0,3.01771667252281,0,2.00785343002263,0
A46,0,0,0,0,0
A47,0,0,0,1.0019582262109,0
A48,0,2.00785343002263,0,1.0019582262109,0
A49,0,1.0019582262109,0,1.0019582262109,0
A50,0,0,0,1.0019582262109,0
A51,0,0,0,0,1.0019582262109
A52,0,0,0,2.00785343002263,0
A53,0,0,0,0,0
A54,0,0,0,0,0
A55,0,1.0019582262109,0,0,0
A56,0,0,0,0,0
A57,0,0,0,0,14.3973678906563
A58,0,3.01771667252281,0,0,0
A59,0,0,0,0,0
A60,2.00785343002263,0,0,4.03157938384363,8.12766676853256
A61,0,0,0,0,0
A62,0,0,0,0,0
A63,1.0019582262109,0,0,1.0019582262109,0
A64,8.12766676853256,0,7.09748429180284,26.3064918931888,0
A65,4.03157938384363,3.01771667252281,4.03157938384363,4.03157938384363,4.03157938384363
A66,0,0,0,0,0
A67,0,0,0,0,0
A68,3.01771667252281,3.01771667252281,2.00785343002263,6.07143081403291,0
A69,1.0019582262109,0,1.0019582262109,1.0019582262109,0
A70,5.04947336903132,8.12766676853256,1.0019582262109,1.0019582262109,0
A71,0,3.01771667252281,1.0019582262109,2.00785343002263,2.00785343002263
A72,1.0019582262109,2.00785343002263,1.0019582262109,2.00785343002263,0
A73,0,0,1.0019582262109,0,0
A74,0,4.03157938384363,0,2.00785343002263,1.0019582262109
A75,1.0019582262109,0,0,0,0
A76,0,0,0,0,0
A77,0,0,0,0,0
A78,2.00785343002263,0,4.03157938384363,5.04947336903132,0
A79,1.0019582262109,0,0,0,1.0019582262109
A80,0,0,1.0019582262109,2.00785343002263,1.0019582262109
A81,0,2.00785343002263,0,1.0019582262109,0
A82,0,0,0,0,0
