Gene,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5
"""A1BG-AS1__chr19""",0,0,0,0,0
"""A1BG__chr19""",0,0,1.0019582262109,1.0019582262109,0
"""A1CF__chr10""",6.07143081403291,0,2.00785343002263,6.07143081403291,0
"""A2M-AS1__chr12""",0,0,0,0,0
"""A2ML1__chr12""",0,0,0,0,0
"""A2M__chr12""",0,5.04947336903132,0,0,0
"""A4GALT__chr22""",0,1.0019582262109,0,0,0
"""A4GNT__chr3""",0,0,0,0,0
"""AAAS__chr12""",1.0019582262109,0,0,1.0019582262109,0
"""AACSP1__chr5""",0,0,0,0,0
"""AACS__chr12""",1.0019582262109,1.0019582262109,1.0019582262109,4.03157938384363,0
"""AADAC__chr3""",0,0,0,0,0
"""AADAT__chr4""",0,0,0,0,0
"""AAED1__chr9""",3.01771667252281,0,0,1.0019582262109,0
"""AAGAB__chr15""",1.0019582262109,3.01771667252281,0,1.0019582262109,0
"""AAK1__chr2""",2.00785343002263,4.03157938384363,4.03157938384363,4.03157938384363,2.00785343002263
"""AAMDC__chr11""",0,1.0019582262109,1.0019582262109,0,0
"""AAMP__chr2""",4.03157938384363,1.0019582262109,2.00785343002263,0,1.0019582262109
"""AAR2__chr20""",0,3.01771667252281,0,,0
"""AARD__chr8""",0,0,0,0,0
"""AARS2__chr6""",0,1.0019582262109,0,0,1.0019582262109
"""AARSD1__chr17""",0,0,0,0,0
"""AARS__chr16""",0,2.00785343002263,1.0019582262109,4.03157938384363,0
"""AASDHPPT__chr11""",2.00785343002263,2.00785343002263,0,5.04947336903132,0
"""AASDH__chr4""",0,0,1.0019582262109,0,0
"""AASS__chr7""",1.0019582262109,0,1.0019582262109,1.0019582262109,0
"""AATF__chr17""",0,1.0019582262109,1.0019582262109,2.00785343002263,0
"""AATK__chr17""",0,0,0,0,0
"""ABAT__chr16""",0,0,3.01771667252281,5.04947336903132,0
"""ABCA10__chr17""",0,0,0,0,0
"""ABCA11P__chr4""",1.0019582262109,0,0,0,0
"""ABCA13__chr7""",0,0,0,0,0
"""ABCA17P__chr16""",0,0,0,0,0
"""ABCA1__chr9""",0,0,0,0,0
"""ABCA2__chr9""",1.0019582262109,0,0,0,0
"""ABCA3__chr16""",0,0,0,0,0
"""ABCA4__chr1""",0,0,0,0,0
"""ABCA5__chr17""",2.00785343002263,1.0019582262109,5.04947336903132,4.03157938384363,0
"""ABCA6__chr17""",0,0,0,0,0
"""ABCA7__chr19""",0,0,0,0,0
"""ABCA8__chr17""",0,0,0,0,0
"""ABCA9__chr17""",0,1.0019582262109,0,0,0
"""ABCB10__chr1""",4.03157938384363,1.0019582262109,2.00785343002263,0,0
"""ABCB11__chr2""",0,0,0,0,0
"""ABCB1__chr7""",0,3.01771667252281,0,2.00785343002263,0
"""ABCB4__chr7""",0,0,0,0,0
"""ABCB5__chr7""",0,0,0,1.0019582262109,0
"""ABCB6__chr2""",0,2.00785343002263,0,1.0019582262109,0
"""ABCB7__chrX""",0,1.0019582262109,0,1.0019582262109,0
"""ABCB8__chr7""",0,0,0,1.0019582262109,0
"""ABCB9__chr12""",0,0,0,0,1.0019582262109
"""ABCC10__chr6""",0,0,0,2.00785343002263,0
"""ABCC11__chr16""",0,0,0,0,0
"""ABCC13__chr21""",0,0,0,0,0
"""ABCC1__chr16""",0,1.0019582262109,0,0,0
"""ABCC2__chr10""",0,0,0,0,0
"""ABCC3__chr17""",0,0,0,0,14.3973678906563
"""ABCC4__chr13""",0,3.01771667252281,0,0,0
"""ABCC5-AS1__chr3""",0,0,0,0,0
"""ABCC5__chr3""",2.00785343002263,0,0,4.03157938384363,8.12766676853256
"""ABCC6P1__chr16""",0,0,0,0,0
"""ABCC6P2__chr16""",0,0,0,0,0
"""ABCC6__chr16""",1.0019582262109,0,0,1.0019582262109,0
"""ABCC8__chr11""",8.12766676853256,0,7.09748429180284,26.3064918931888,0
"""ABCC9__chr12""",4.03157938384363,3.01771667252281,4.03157938384363,4.03157938384363,4.03157938384363
"""ABCD1__chrX""",0,0,0,0,0
"""ABCD2__chr12""",0,0,0,0,0
"""ABCD3__chr1""",3.01771667252281,3.01771667252281,2.00785343002263,6.07143081403291,0
"""ABCD4__chr14""",1.0019582262109,0,1.0019582262109,1.0019582262109,0
"""ABCE1__chr4""",5.04947336903132,8.12766676853256,1.0019582262109,1.0019582262109,0
"""ABCF1__chr6""",0,3.01771667252281,1.0019582262109,2.00785343002263,2.00785343002263
"""ABCF2__chr7""",1.0019582262109,2.00785343002263,1.0019582262109,2.00785343002263,0
"""ABCF3__chr3""",0,0,1.0019582262109,0,0
"""ABCG1__chr21""",0,4.03157938384363,0,2.00785343002263,1.0019582262109
"""ABCG2__chr4""",1.0019582262109,0,0,0,0
"""ABCG4__chr11""",0,0,0,0,0
"""ABCG5__chr2""",0,0,0,0,0
"""ABHD10__chr3""",2.00785343002263,0,4.03157938384363,5.04947336903132,0
"""ABHD11__chr7""",1.0019582262109,0,0,0,1.0019582262109
"""ABHD12__chr20""",0,0,1.0019582262109,2.00785343002263,1.0019582262109
"""ABHD13__chr13""",0,2.00785343002263,0,1.0019582262109,0
"""ABHD14A-ACY1__chr3""",0,0,0,0,0
"""ABHD14A__chr3""",1.0019582262109,0,0,6.07143081403291,0
"""ABHD14B__chr3""",0,0,0,0,0
"""ABHD15__chr17""",3.01771667252281,2.00785343002263,0,2.00785343002263,1.0019582262109
"""ABHD16A__chr6""",2.00785343002263,0,1.0019582262109,3.01771667252281,3.01771667252281
"""ABHD1__chr2""",0,0,0,0,0
"""ABHD2__chr15""",2.00785343002263,0,4.03157938384363,10.2005525880831,18.6641333268705
"""ABHD3__chr18""",0,0,0,1.0019582262109,6.07143081403291
"""ABHD4__chr14""",0,4.03157938384363,1.0019582262109,0,0
"""ABHD5__chr3""",0,3.01771667252281,1.0019582262109,1.0019582262109,0
"""ABHD6__chr3""",1.0019582262109,0,0,0,0
"""ABHD8__chr19""",0,0,0,0,0
"""ABI1__chr10""",1.0019582262109,5.04947336903132,0,0,3.01771667252281
"""ABI2__chr2""",3.01771667252281,4.03157938384363,6.07143081403291,5.04947336903132,0
"""ABI3BP__chr3""",0,0,0,0,0
"""ABI3__chr17""",0,10.2005525880831,0,0,0
"""ABL1__chr9""",0,1.0019582262109,0,0,0
"""ABL2__chr1""",1.0019582262109,16.5218614112182,2.00785343002263,6.07143081403291,0
"""ABLIM1__chr10""",5.04947336903132,2.00785343002263,5.04947336903132,5.04947336903132,16.5218614112182
"""ABLIM2__chr4""",0,0,0,0,0
"""ABLIM3__chr5""",0,0,0,1.0019582262109,0
"""ABO__chr9""",0,0,0,0,0
"""ABP1__chr7""",0,0,0,0,0
"""ABRACL__chr6""",0,5.04947336903132,0,0,3.01771667252281
"""ABR__chr17""",0,1.0019582262109,3.01771667252281,5.04947336903132,1.0019582262109
"""ABT1__chr6""",0,5.04947336903132,0,3.01771667252281,0
"""ABTB1__chr3""",0,0,0,0,0
"""ABTB2__chr11""",0,0,0,0,0
"""ACAA1__chr3""",0,0,3.01771667252281,5.04947336903132,9.16201161000583
"""ACAA2__chr18""",4.03157938384363,4.03157938384363,1.0019582262109,2.00785343002263,2.00785343002263
"""ACACA__chr17""",2.00785343002263,1.0019582262109,0,1.0019582262109,0
"""ACACB__chr12""",0,0,1.0019582262109,1.0019582262109,0
"""ACAD10__chr12""",0,1.0019582262109,1.0019582262109,0,0
"""ACAD11__chr3""",0,0,0,0,0
"""ACAD8__chr11""",0,0,1.0019582262109,1.0019582262109,0
"""ACAD9__chr3""",0,0,0,2.00785343002263,0
"""ACADL__chr2""",0,0,0,0,0
"""ACADM__chr1""",0,6.07143081403291,2.00785343002263,2.00785343002263,1.0019582262109
"""ACADSB__chr10""",0,1.0019582262109,1.0019582262109,1.0019582262109,0
"""ACADS__chr12""",0,0,0,0,0
